subject,date,eid,ROI
ZFM-06272,2023-08-16,fce39ff5-4db1-4a1b-8cd6-265e5b1474ab,Region4G
ZFM-05245,2023-03-20,26b1e8e2-47c8-4925-9ae5-43929635294d,Region4G
ZFM-06268,2023-10-24,6d22ff85-8983-4ce8-843c-46f6bc2f521f,Region6G
ZFM-03062,2021-10-29,6714d921-e53c-42c9-8950-3a36a5cca2fd,Region4G
ZFM-03059,2022-04-01,f36ae1d4-20e0-47ee-b4bd-9649810d87e0,Region5G
ZFM-04019,2023-01-19,382c9380-a2f7-411f-949d-a6df6c00747f,Region3G
ZFM-06272,2024-01-19,67d81531-0679-496e-816f-410180645f65,Region6G
ZFM-05235,2023-03-23,cb25dead-c27b-40d7-b52e-d32cc6ddf1f6,Region4G
ZFM-04022,2022-07-29,3dffc578-3fa8-4d01-b0df-a61a5593be46,Region6G
ZFM-06271,2023-11-04,c9df7e11-22b5-4db2-9986-3af3f6af9165,Region6G
ZFM-06271,2023-08-28,bb9743ad-c0ed-43a7-9cb7-55eae804c987,Region3G
ZFM-03062,2021-10-13,3213b233-37c7-4208-b411-0147fd8e3935,Region4G
ZFM-05245,2023-03-06,2ac33f48-6efb-4544-be5c-5ec2c6bd023f,Region4G
ZFM-03448,2021-11-21,aad8c23e-a563-441e-94ad-c7fda38a699b,Region7G
ZFM-05235,2023-08-23,a196fce9-7eae-4c11-ae01-25a9aa59b593,Region3G
ZFM-05248,2023-03-24,d1f7fa83-21a1-4f31-90db-b519f7cffa0e,Region3G
ZFM-06275,2024-01-15,e8b7d6e0-8a6b-4f17-a2f2-ffbb886bc06a,Region6G
ZFM-04019,2023-01-11,76f443fb-a06d-4ffd-9725-23d5c0d40386,Region3G
ZFM-03061,2021-10-07,9a66082a-44d6-4bba-b747-c3151cdabcd3,Region6G
ZFM-05245,2023-07-12,4f9da1a0-5465-410b-83f4-e852cfe61107,Region3G
ZFM-06268,2023-08-18,d0192776-e890-4dc5-a24d-0312c66b239c,Region3G
ZFM-05235,2023-07-24,8a328917-6ce3-4a8e-8d97-a21456187702,Region3G
ZFM-04392,2023-02-09,f96226d3-926c-434f-89f8-8571154534b5,Region3G
ZFM-06275,2023-07-17,335bf327-e26a-41d1-9346-58a9fbf73548,Region4G
ZFM-06268,2023-08-22,742d9c7a-9d44-4b43-92ed-625bab25bd9d,Region3G
