subject,date,eid,ROI
ZFM-05245,2023-07-11,40a2c7c5-bdce-4aae-ab2f-e088d82e58d3,Region3G
ZFM-05245,2023-07-07,8996a0d0-3b23-4d7e-92a4-8272b4bb5a9f,Region3G
ZFM-05245,2023-07-06,be3208c9-43de-44dc-bdc6-ff8963464f98,Region4G
ZFM-05245,2023-07-05,490f4be9-de15-4251-aae4-2e059bbc03c9,Region4G
ZFM-05245,2023-07-04,274c4683-ef2a-471a-841f-af634446ec8d,Region5G
ZFM-05245,2023-07-03,55d7f234-cc47-44a6-bb36-086c854eff00,Region3G
ZFM-05248,2023-08-22,488cb758-888a-4664-bc8e-2e0624507ce4,Region3G
ZFM-05248,2023-08-18,61073b6e-842e-440e-bf59-b3197065bfa1,Region4G
ZFM-05248,2023-08-17,24415d91-8a3a-440b-beee-2d4388a4b908,Region4G
ZFM-05248,2023-08-16,f416af34-121d-419c-8d27-4e95f8648012,Region3G
ZFM-05248,2023-08-15,b46d38e4-cba5-4d2f-b975-93542a452317,Region3G
ZFM-05248,2023-07-25,9c86d1db-cb3f-4bfe-bdd4-450c25b1b779,Region3G
ZFM-05248,2023-07-24,385d2bc7-02e6-4d65-b20a-68ea9bd85e7c,Region3G
ZFM-05248,2023-07-21,56044f43-8550-4b36-ae5d-0a32e627c0fd,Region3G
ZFM-05248,2023-07-20,65b43acb-afa5-4590-a400-f7f4c79788ab,Region3G
ZFM-05248,2023-07-19,cd9d071e-c798-4900-891f-b65640ec22b1,Region4G
ZFM-05248,2023-07-14,4e8dbc88-f96c-4de9-91f1-2e5c3b3c3a71,Region1G
ZFM-05248,2023-07-13,b59d74aa-334b-4e01-a1c9-3cac0ee46cae,Region3G
ZFM-05248,2023-07-07,bca1e711-bd2a-411e-afe2-8da1308994c3,Region4G
ZFM-05248,2023-07-03,b0c91134-9ee0-48c9-ab86-bef2f77bcf99,Region3G
ZFM-05248,2023-06-27,3f4b9711-7cea-41f2-9fc5-ee095fcad5c0,Region3G
ZFM-05248,2023-06-26,df1d5d83-ad49-4779-9817-9099801cbaa4,Region3G
ZFM-05248,2023-06-23,10f2979e-6468-4f48-af70-5b4e35cb9340,Region3G
ZFM-05248,2023-06-21,3cb024c2-b9da-4538-9b6a-0cfbaab3d118,Region3G
ZFM-06305,2023-10-06,31d6b8ec-e9df-4e7d-9b5d-4b24c616dced,Region6G
ZFM-06305,2023-10-05,4d98e49b-4dcc-436d-8bc5-e11549cdf05b,Region6G
ZFM-06305,2023-08-31,56ed83ac-c196-4817-bc37-62c02ba89d47,Region3G
ZFM-06305,2023-08-29,b98f1024-abeb-4b5d-99ae-3fb0cd9068d1,Region3G
ZFM-06305,2023-08-28,91c200e0-b8e3-4809-9a3c-f568bf644663,Region3G
ZFM-06305,2023-08-25,5b54b2c2-22ce-4d25-a1cd-2e611367b34d,Region4G
ZFM-06305,2023-08-24,c8089c50-4f66-4fec-907d-f846cc81b180,Region4G
ZFM-06305,2023-08-23,a2f74a7f-1b6f-451f-aeda-4f8d3e7c8113,Region4G
ZFM-06305,2023-08-18,93d7e597-05bb-4d8f-93fc-58da4c5abda7,Region4G
ZFM-06305,2023-08-17,c92ca0dc-6922-4c32-8bec-52f93e17bfb0,Region3G
ZFM-06305,2023-08-16,238e79e5-40b2-407a-9013-c85ed24fcd5f,Region4G
ZFM-06305,2023-08-15,f652f72e-1f84-46e4-b417-dc3ff166b392,Region4G
ZFM-06305,2023-07-25,8b9f9da7-0310-4181-963f-d917db08549e,Region4G
ZFM-06305,2023-07-24,cb7d4951-a7fc-46d1-9e78-6a43d5a576e4,Region4G
ZFM-06305,2023-07-19,a6298862-d6ab-4c5f-9d5b-e88eee7d9569,Region3G
ZFM-06305,2023-08-31,56ed83ac-c196-4817-bc37-62c02ba89d47,Region4G
ZFM-06305,2023-08-28,91c200e0-b8e3-4809-9a3c-f568bf644663,Region4G
ZFM-06305,2023-08-25,5b54b2c2-22ce-4d25-a1cd-2e611367b34d,Region5G
ZFM-06305,2023-08-24,c8089c50-4f66-4fec-907d-f846cc81b180,Region5G
ZFM-06305,2023-08-23,a2f74a7f-1b6f-451f-aeda-4f8d3e7c8113,Region5G
ZFM-06305,2023-08-18,93d7e597-05bb-4d8f-93fc-58da4c5abda7,Region5G
ZFM-06305,2023-08-17,c92ca0dc-6922-4c32-8bec-52f93e17bfb0,Region5G
ZFM-06305,2023-08-16,238e79e5-40b2-407a-9013-c85ed24fcd5f,Region5G
ZFM-06305,2023-08-15,f652f72e-1f84-46e4-b417-dc3ff166b392,Region5G
ZFM-06305,2023-07-25,8b9f9da7-0310-4181-963f-d917db08549e,Region5G
ZFM-06305,2023-07-24,cb7d4951-a7fc-46d1-9e78-6a43d5a576e4,Region5G
ZFM-06948,2024-01-24,80365379-89b1-4140-b0e7-d935f3d16ec7,Region5G
ZFM-06948,2024-01-19,2d6526a6-a19d-487c-a061-f6e2457abc8b,Region5G
ZFM-06948,2024-01-18,c1b69b7c-4ef8-4ad4-871f-b6b30c7e8f63,Region5G
ZFM-06948,2024-01-17,49a8a108-34b9-4611-b887-4465f0260df5,Region5G
ZFM-06948,2024-01-16,4a2a79b3-3ff1-476c-a438-6690167eda3e,Region5G
